(.venv) ➜  hebbian_image_encoder python hebbian_encode.py
[LOG] Step 91: energy=1194.3868, delta=0.000257, norm=765.2720
[LOG] Step 92: energy=1535.6501, delta=0.000329, norm=766.5406
[LOG] Step 93: energy=1195.7864, delta=0.000257, norm=767.5125
[LOG] Step 94: energy=1899.3854, delta=0.000405, norm=769.0256
[LOG] Step 95: energy=1536.2227, delta=0.000326, norm=770.2550
[LOG] Step 96: energy=1204.0455, delta=0.000254, norm=771.2188
[LOG] Step 97: energy=1053.4214, delta=0.000223, norm=772.0637
[LOG] Step 98: energy=2149.2295, delta=0.000451, norm=773.7866
[LOG] Step 99: energy=1185.5100, delta=0.000244, norm=774.7610
[LOG] Step 100: energy=1426.1088, delta=0.000296, norm=775.9111
[LOG] Step 101: energy=1812.1315, delta=0.000378, norm=777.3787
[LOG] Step 102: energy=1042.5059, delta=0.000214, norm=778.2375
[LOG] Step 103: energy=1192.3186, delta=0.000247, norm=779.1853
[LOG] Step 104: energy=1432.2025, delta=0.000299, norm=780.3198
[LOG] Step 105: energy=1050.2273, delta=0.000216, norm=781.1844
[LOG] Step 106: energy=2322.3806, delta=0.000479, norm=783.0707
[LOG] Step 107: energy=2117.7520, delta=0.000432, norm=784.8057
[LOG] Step 108: energy=1410.3645, delta=0.000289, norm=785.9294
[LOG] Step 109: energy=1733.4084, delta=0.000352, norm=787.3215
[LOG] Step 110: energy=1405.8425, delta=0.000286, norm=788.4619
[LOG] Step 111: energy=1817.6855, delta=0.000366, norm=789.9505
[LOG] Step 112: energy=1289.0731, delta=0.000260, norm=790.9984
[LOG] Step 113: energy=1301.5144, delta=0.000262, norm=792.0624
[LOG] Step 114: energy=1911.6646, delta=0.000376, norm=793.6406
[LOG] Step 115: energy=2010.4136, delta=0.000399, norm=795.3010
[LOG] Step 116: energy=2116.0698, delta=0.000418, norm=797.0253
[LOG] Step 117: energy=1354.0267, delta=0.000267, norm=798.1178
[LOG] Step 118: energy=2118.1560, delta=0.000418, norm=799.8016
[LOG] Step 119: energy=1456.1698, delta=0.000287, norm=800.9704
[LOG] Step 120: energy=992.7029, delta=0.000195, norm=801.7673
[LOG] Step 121: energy=1358.5913, delta=0.000266, norm=802.8679
[LOG] Step 122: energy=1815.9624, delta=0.000351, norm=804.3453
[LOG] Step 123: energy=1286.3442, delta=0.000248, norm=805.3874
[LOG] Step 124: energy=1222.2235, delta=0.000233, norm=806.3808
[SAVED] hebbian_encode_similarity.png
[SAVED] hebbian_encode_neighbors_grid.png
