(.venv) ➜  hebbian_image_encoder git:(main) ✗ python pokemon_hebbian_deep_encode.py                                                                                                                                                                             <aws:kenny> <region:us-west-2>
[LOG] Step 3: energy=0.0150, delta=0.000068, norm=0.2618
[LOG] Step 0: energy=0.0181, delta=0.000082, norm=0.2764
[LOG] Step 1: energy=0.0164, delta=0.000074, norm=0.2895
[LOG] Step 2: energy=0.0169, delta=0.000077, norm=0.3030
[LOG] Step 3: energy=0.0199, delta=0.000087, norm=0.3188
[LOG] Step 0: energy=0.0242, delta=0.000107, norm=0.3381
[LOG] Step 1: energy=0.0220, delta=0.000096, norm=0.3555
[LOG] Step 2: energy=0.0227, delta=0.000100, norm=0.3735
[LOG] Step 3: energy=0.0269, delta=0.000115, norm=0.3946
[LOG] Step 0: energy=0.0330, delta=0.000141, norm=0.4206
[LOG] Step 1: energy=0.0301, delta=0.000127, norm=0.4441
[LOG] Step 2: energy=0.0310, delta=0.000132, norm=0.4684
[LOG] Step 3: energy=0.0372, delta=0.000153, norm=0.4972
[LOG] Step 0: energy=0.0459, delta=0.000189, norm=0.5327
[LOG] Step 1: energy=0.0421, delta=0.000171, norm=0.5649
[LOG] Step 2: energy=0.0436, delta=0.000178, norm=0.5982
[LOG] Step 3: energy=0.0526, delta=0.000208, norm=0.6379
[LOG] Step 0: energy=0.0655, delta=0.000259, norm=0.6872
[LOG] Step 1: energy=0.0603, delta=0.000234, norm=0.7320
[LOG] Step 2: energy=0.0627, delta=0.000244, norm=0.7785
[LOG] Step 3: energy=0.0764, delta=0.000289, norm=0.8342
[LOG] Step 0: energy=0.0961, delta=0.000360, norm=0.9035
[LOG] Step 1: energy=0.0890, delta=0.000327, norm=0.9668
[LOG] Step 2: energy=0.0929, delta=0.000340, norm=1.0324
[LOG] Step 3: energy=0.1144, delta=0.000406, norm=1.1116
[LOG] Step 0: energy=0.1452, delta=0.000508, norm=1.2106
[LOG] Step 1: energy=0.1356, delta=0.000464, norm=1.3012
[LOG] Step 2: energy=0.1425, delta=0.000482, norm=1.3951
[LOG] Step 3: energy=0.1775, delta=0.000580, norm=1.5093
[SAVED] pokemon_hebbian_deep_encode_similarity.png
[SAVED] pokemon_hebbian_deep_encode_neighbors_grid.png
