(.venv) ➜  hebbian_image_encoder python hebbian_deep_encode.py                                                                                                                                   <aws:kenny> <region:us-west-2>
[LOG] Step 82: energy=25155543040.0000, delta=47631.003906, norm=512.0000
[LOG] Step 83: energy=21608572928.0000, delta=40914.937500, norm=512.0000
[LOG] Step 84: energy=25701642240.0000, delta=48665.000000, norm=512.0000
[LOG] Step 85: energy=24252235776.0000, delta=45920.621094, norm=512.0000
[LOG] Step 86: energy=23032635392.0000, delta=43611.335938, norm=512.0000
[LOG] Step 87: energy=32349437952.0000, delta=61252.335938, norm=512.0000
[LOG] Step 88: energy=26424709120.0000, delta=50034.101562, norm=512.0000
[LOG] Step 89: energy=26997893120.0000, delta=51119.394531, norm=512.0000
[LOG] Step 90: energy=24201660416.0000, delta=45824.851562, norm=512.0000
[LOG] Step 91: energy=25885194240.0000, delta=49012.554688, norm=512.0000
[LOG] Step 92: energy=29105811456.0000, delta=55110.652344, norm=512.0000
[LOG] Step 93: energy=25173026816.0000, delta=47664.089844, norm=512.0000
[LOG] Step 94: energy=34173054976.0000, delta=64705.285156, norm=512.0000
[LOG] Step 95: energy=31406684160.0000, delta=59467.285156, norm=512.0000
[LOG] Step 96: energy=24143255552.0000, delta=45714.250000, norm=512.0000
[LOG] Step 97: energy=22609348608.0000, delta=42809.867188, norm=512.0000
[LOG] Step 98: energy=38937436160.0000, delta=73726.460938, norm=512.0000
[LOG] Step 99: energy=23114637312.0000, delta=43766.597656, norm=512.0000
[LOG] Step 100: energy=28020314112.0000, delta=53055.312500, norm=512.0000
[LOG] Step 101: energy=31970662400.0000, delta=60535.132812, norm=512.0000
[LOG] Step 102: energy=20773310464.0000, delta=39333.382812, norm=512.0000
[LOG] Step 103: energy=27244744704.0000, delta=51586.812500, norm=512.0000
[LOG] Step 104: energy=29051318272.0000, delta=55007.484375, norm=512.0000
[LOG] Step 105: energy=20880478208.0000, delta=39536.308594, norm=512.0000
[LOG] Step 106: energy=41010622464.0000, delta=77651.937500, norm=512.0000
[LOG] Step 107: energy=30311411712.0000, delta=57393.371094, norm=512.0000
[LOG] Step 108: energy=26094727168.0000, delta=49409.269531, norm=512.0000
[LOG] Step 109: energy=33423042560.0000, delta=63285.164062, norm=512.0000
[LOG] Step 110: energy=27200473088.0000, delta=51502.968750, norm=512.0000
[LOG] Step 111: energy=31539023872.0000, delta=59717.835938, norm=512.0000
[LOG] Step 112: energy=25015441408.0000, delta=47365.687500, norm=512.0000
[LOG] Step 113: energy=30832381952.0000, delta=58379.875000, norm=512.0000
[LOG] Step 114: energy=32111814656.0000, delta=60802.378906, norm=512.0000
[LOG] Step 115: energy=34542215168.0000, delta=65404.261719, norm=512.0000
[LOG] Step 116: energy=34667847680.0000, delta=65642.140625, norm=512.0000
[LOG] Step 117: energy=27399196672.0000, delta=51879.238281, norm=512.0000
[LOG] Step 118: energy=35529760768.0000, delta=67274.140625, norm=512.0000
[LOG] Step 119: energy=28567810048.0000, delta=54091.972656, norm=512.0000
[LOG] Step 120: energy=21075802112.0000, delta=39906.148438, norm=512.0000
[LOG] Step 121: energy=28513331200.0000, delta=53988.816406, norm=512.0000
[LOG] Step 122: energy=29686773760.0000, delta=56210.664062, norm=512.0000
[LOG] Step 123: energy=25406447616.0000, delta=48106.054688, norm=512.0000
[LOG] Step 124: energy=26288306176.0000, delta=49775.820312, norm=512.0000
[SAVED] hebbian_deep_encode_similarity.png
[SAVED] hebbian_deep_encode_neighbors_grid.png
