(.venv) ➜  v2_pokemon_kmeans git:(main) ✗ python pokemon_hebbian_deep_encode.py                                                                                                                                                                   <aws:kenny> <region:us-west-2>
[LOG] Step 91: energy=0.3274, delta=0.000155, norm=123.4451
[LOG] Step 92: energy=0.3285, delta=0.000155, norm=123.4568
[LOG] Step 93: energy=0.3295, delta=0.000155, norm=123.4680
[LOG] Step 94: energy=0.3290, delta=0.000155, norm=123.4791
[LOG] Step 95: energy=0.3293, delta=0.000155, norm=123.4906
[LOG] Step 96: energy=0.3269, delta=0.000155, norm=123.5019
[LOG] Step 97: energy=0.3300, delta=0.000154, norm=123.5129
[LOG] Step 98: energy=0.3286, delta=0.000155, norm=123.5243
[LOG] Step 99: energy=0.3297, delta=0.000154, norm=123.5358
[LOG] Step 100: energy=0.3302, delta=0.000155, norm=123.5469
[LOG] Step 101: energy=0.3276, delta=0.000155, norm=123.5582
[LOG] Step 102: energy=0.3296, delta=0.000154, norm=123.5699
[LOG] Step 103: energy=0.3269, delta=0.000155, norm=123.5813
[LOG] Step 104: energy=0.3292, delta=0.000155, norm=123.5925
[LOG] Step 105: energy=0.3286, delta=0.000155, norm=123.6036
[LOG] Step 106: energy=0.3265, delta=0.000156, norm=123.6152
[LOG] Step 107: energy=0.3306, delta=0.000156, norm=123.6271
[LOG] Step 108: energy=0.3275, delta=0.000154, norm=123.6383
[LOG] Step 109: energy=0.3303, delta=0.000156, norm=123.6498
[LOG] Step 110: energy=0.3302, delta=0.000156, norm=123.6607
[LOG] Step 111: energy=0.3297, delta=0.000155, norm=123.6721
[LOG] Step 112: energy=0.3345, delta=0.000039, norm=123.6752
Feature stats: -0.035009865 0.055948526 False
/Users/kenny/code/ai/hebbian_image_encoder/.venv/lib/python3.9/site-packages/sklearn/utils/extmath.py:203: RuntimeWarning: divide by zero encountered in matmul
  ret = a @ b
/Users/kenny/code/ai/hebbian_image_encoder/.venv/lib/python3.9/site-packages/sklearn/utils/extmath.py:203: RuntimeWarning: overflow encountered in matmul
  ret = a @ b
/Users/kenny/code/ai/hebbian_image_encoder/.venv/lib/python3.9/site-packages/sklearn/utils/extmath.py:203: RuntimeWarning: invalid value encountered in matmul
  ret = a @ b
/Users/kenny/code/ai/hebbian_image_encoder/.venv/lib/python3.9/site-packages/sklearn/utils/deprecation.py:151: FutureWarning: 'force_all_finite' was renamed to 'ensure_all_finite' in 1.6 and will be removed in 1.8.
  warnings.warn(
/Users/kenny/code/ai/hebbian_image_encoder/.venv/lib/python3.9/site-packages/umap/umap_.py:1952: UserWarning: n_jobs value 1 overridden to 1 by setting random_state. Use no seed for parallelism.
  warn(
[SAVED] pokemon_hebbian_cluster_plot.png
